ID,TaskID,ItemID,Annotator,Status,ImageLink
502812,816924,59735,Alice,Open,https://demo-images.com/11019.jpg
502812,816924,42089,Bob,Open,https://demo-images.com/11019.jpg
502812,816924,27998,Carla,Open,https://demo-images.com/11019.jpg
502812,816924,75382,David,Open,https://demo-images.com/11019.jpg
849586,816924,83426,Alice,Open,https://demo-images.com/75243.jpg
849586,816924,69336,Bob,Open,https://demo-images.com/75243.jpg
849586,816924,43588,Carla,Open,https://demo-images.com/75243.jpg
849586,816924,91644,David,Open,https://demo-images.com/75243.jpg
651247,816924,79704,Alice,Open,https://demo-images.com/84743.jpg
651247,816924,21588,Bob,Open,https://demo-images.com/84743.jpg
651247,816924,44794,Carla,Open,https://demo-images.com/84743.jpg
651247,816924,16694,David,Open,https://demo-images.com/84743.jpg
909795,816924,15937,Alice,Open,https://demo-images.com/90261.jpg
909795,816924,56816,Bob,Open,https://demo-images.com/90261.jpg
909795,816924,78146,Carla,Open,https://demo-images.com/90261.jpg
909795,816924,15526,David,Open,https://demo-images.com/90261.jpg
165001,816924,82889,Alice,Open,https://demo-images.com/26121.jpg
165001,816924,10679,Bob,Open,https://demo-images.com/26121.jpg
165001,816924,49165,Carla,Open,https://demo-images.com/26121.jpg
165001,816924,47418,David,Open,https://demo-images.com/26121.jpg
